driver_name,year,raced_flag
Alan Brown,1946,0
Alan Brown,1947,0
Alan Brown,1948,0
Alan Brown,1949,0
Alberto Ascari,1946,0
Alberto Ascari,1947,1
Alberto Ascari,1948,1
Alberto Ascari,1949,1
André Pilette,1946,0
André Pilette,1947,0
André Pilette,1948,0
André Pilette,1949,0
Bob Gerard,1946,0
Bob Gerard,1947,0
Bob Gerard,1948,0
Bob Gerard,1949,0
Felice Bonetto,1946,0
Felice Bonetto,1947,1
Felice Bonetto,1948,1
Felice Bonetto,1949,1
Hans Herrmann,1946,0
Hans Herrmann,1947,0
Hans Herrmann,1948,0
Hans Herrmann,1949,0
Harry Schell,1946,0
Harry Schell,1947,1
Harry Schell,1948,0
Harry Schell,1949,1
Jean Behra,1946,0
Jean Behra,1947,0
Jean Behra,1948,0
Jean Behra,1949,0
Johnny Claes,1946,0
Johnny Claes,1947,0
Johnny Claes,1948,0
Johnny Claes,1949,0
José Froilán González,1946,0
José Froilán González,1947,0
José Froilán González,1948,0
José Froilán González,1949,0
Juan Fangio,1946,0
Juan Fangio,1947,1
Juan Fangio,1948,1
Juan Fangio,1949,1
Ken Wharton,1946,0
Ken Wharton,1947,0
Ken Wharton,1948,0
Ken Wharton,1949,0
Lance Macklin,1946,0
Lance Macklin,1947,0
Lance Macklin,1948,0
Lance Macklin,1949,0
Louis Chiron,1946,0
Louis Chiron,1947,1
Louis Chiron,1948,1
Louis Chiron,1949,1
Louis Rosier,1946,0
Louis Rosier,1947,1
Louis Rosier,1948,1
Louis Rosier,1949,1
Luigi Fagioli,1946,0
Luigi Fagioli,1947,0
Luigi Fagioli,1948,0
Luigi Fagioli,1949,0
Luigi Musso,1946,0
Luigi Musso,1947,0
Luigi Musso,1948,0
Luigi Musso,1949,0
Luigi Villoresi,1946,0
Luigi Villoresi,1947,0
Luigi Villoresi,1948,0
Luigi Villoresi,1949,0
Maurice Trintignant,1946,0
Maurice Trintignant,1947,1
Maurice Trintignant,1948,1
Maurice Trintignant,1949,1
Mike Hawthorn,1946,0
Mike Hawthorn,1947,0
Mike Hawthorn,1948,0
Mike Hawthorn,1949,0
Nino Farina,1946,1
Nino Farina,1947,0
Nino Farina,1948,1
Nino Farina,1949,1
Paco Godia,1946,0
Paco Godia,1947,0
Paco Godia,1948,0
Paco Godia,1949,0
Paul Frère,1946,0
Paul Frère,1947,0
Paul Frère,1948,0
Paul Frère,1949,0
Peter Collins,1946,0
Peter Collins,1947,0
Peter Collins,1948,0
Peter Collins,1949,1
Peter Whitehead,1946,0
Peter Whitehead,1947,1
Peter Whitehead,1948,0
Peter Whitehead,1949,1
Philippe Étancelin,1946,0
Philippe Étancelin,1947,0
Philippe Étancelin,1948,1
Philippe Étancelin,1949,1
Piero Taruffi,1946,0
Piero Taruffi,1947,0
Piero Taruffi,1948,0
Piero Taruffi,1949,0
Prince Bira,1946,0
Prince Bira,1947,1
Prince Bira,1948,1
Prince Bira,1949,1
Robert Manzon,1946,0
Robert Manzon,1947,0
Robert Manzon,1948,1
Robert Manzon,1949,0
Roberto Mieres,1946,0
Roberto Mieres,1947,0
Roberto Mieres,1948,0
Roberto Mieres,1949,0
Roy Salvadori,1946,0
Roy Salvadori,1947,1
Roy Salvadori,1948,0
Roy Salvadori,1949,0
Rudi Fischer,1946,0
Rudi Fischer,1947,0
Rudi Fischer,1948,0
Rudi Fischer,1949,1
Sergio Mantovani,1946,0
Sergio Mantovani,1947,0
Sergio Mantovani,1948,0
Sergio Mantovani,1949,0
Stirling Moss,1946,0
Stirling Moss,1947,0
Stirling Moss,1948,1
Stirling Moss,1949,1
Toulo de Graffenried,1946,0
Toulo de Graffenried,1947,1
Toulo de Graffenried,1948,1
Toulo de Graffenried,1949,1
Umberto Maglioli,1946,0
Umberto Maglioli,1947,0
Umberto Maglioli,1948,0
Umberto Maglioli,1949,0
Yves Cabantous,1946,0
Yves Cabantous,1947,0
Yves Cabantous,1948,0
Yves Cabantous,1949,0
